id,post,topic,labels,cls_euc,dist_euc,cls_euc_sp,dist_euc_sp,cls_cos,dist_cos,cls_cos_sp,dist_cos_sp
0,"there is only one question when it comes to abortion, what is it? if it is a human being then it requires a very high level of justification to take it's life. i have simply seen no argument that comes close to proper justification for the taking the life of a innocent human being. the only arguments i have seen are those that try to take away the embryo's humanity and make it less than human. roe vs wade was a very poor decision by the supreme court because it introduce a major contradiction in the law. the unjustified taking of a human life is considered murder under current law and we have different degrees to further define it. consider the fact that if you kill a woman with child; you will be charged for two counts of homicide. but if a doctor kills only one of those persons; no charge. the supreme court by their ruling overturned the law they were supposed to uphold. the right thing to do would be to overturn this erroneous ruling and restore our rule of law.",abortion,c-kill,9,147.42944,12,148.18367,144,0.6648187935352325,151,0.633030354976654
1,"people often try to personalize their pro-life argument by saying ""imagine if your mother had aborted you! you wouldn't be here!"" well, to that i say i wouldn't have cared, i wouldn't have had the capacity to care! but people believe in reincarnation might say that i'd be somebody else! another person! probably still to the same mother! who knows.... but if at the time, she really didn't want to have me, then i say it's her choice.",abortion,p-right,12,99.33516,15,98.52539,27,0.47898268699645996,28,0.485843300819397
2,"exactly. you wouldn't have cared, because you couldn't have cared. you would have never have had the chance to voice your opinion; to have your say as you do today.",abortion,,23,130.9968,30,130.4344,71,0.6251534521579742,77,0.6397823095321655
3,"so you agree with everything i just said, why then did you not click on the ""support"" link instead of the ""dispute"" link?",abortion,,9,135.98149,12,135.62886,153,0.6096483767032623,54,0.6211848258972168
4,"brilliant. that's it. abortion is wrong, and i don't know why some people can't get it through their thick skulls. hmmm if you were a baby and were going to be born and you were aborted, you probably would care.",abortion,,14,152.58795,17,153.2527,152,0.5362278521060944,43,0.5922486186027527
5,"""if you were a baby, were going to be born and were aborted, you probably would care"" this statement is all about ""if"". in reality, the fetus has no mental capacity to care about anything. before it could survive outside of the mother's womb, it should be entirely the mother's choice, not society's. i believe this is about 20 weeks into the pregnancy.",abortion,p-not_human p-right,30,135.58488,12,130.40253,7,0.5621700286865234,134,0.6566665172576904
6,"hmmm if you were a baby and were going to be born and you were aborted, you probably would care. we wouldn't care. we couldn't. as a fetus the natural drive humans have for survival really isn't there. the mental capacity just wouldn't exist to care.",abortion,p-not_human,8,163.82509,11,164.2931,23,0.5924048125743866,23,0.6216150224208832
7,"technically speaking, a fetus is not a human yet. having an abortion is similar to wearing a condom. no baby is made, yet intercourse still happens.",abortion,p-birth_ctrl p-not_human,8,104.71966,11,104.19978,23,0.5848649740219116,23,0.5821486115455627
8,"a fetus is a stage of development. the genes are what determines what kind of fetus it is. so when a human being has an abortion she takes the life of a human fetus, not the fetus of a dog or cat, a human fetus. about the condom. using a condom is what you do before fertilization to try and prevent fertilization. an abortion is what you do after fertilization has occurred to stop further growth of the product of fertilization. and when done on humans it ends the life of a human in the early stages of development. them are the facts; abortions on humans ends the life of a human, using condoms prevents the fertilization of the human sperm and egg.",abortion,c-kill,19,145.21043,25,144.2897,119,0.6702957153320312,128,0.6429024934768677
9,"""i have simply seen no argument that comes close to proper justification for the taking the life of a innocent human being."" so a thirteen year old girl gets raped, and you're saying that the govenrment have the right to force that girl to keep her unwanted baby? i would imagine the girl would never really bond with her baby, and the child would have to grow up knowing of its conception and live with the knowledge that it was not wanted. surely that is justification enough? that is not a life anyone would want, and surely aborting that baby in its early stages of development would be the better thing to do. also, think of the number of children that would end up in care if abortion was banned. there are enough of them already, the banning of abortion would most definately increase this number, and the more children in care, the lower the quality would become. where would they get the money to look after so many children? our taxes? it would get rediculous, and there would be a lot of children out there wishing they had never been born. i do realise that there are problems with abortion, for example, the amount of people who have unsafe sex because they know they can either take the morning after pill or have an abortion is rediculous. but, i'd like to know that if the contraception i was using didn't work and i fell pregnant through no fault of my own, i would be very happy that i have the option to have an abortion. also, when do you begin to class a fetus as a human? i personally would not think of it as a human untill about 12 weeks. it doesnt even enter the fetal stage untill the 11th week, surely abortion before this stage is not inhumane? if there was a contraception out there that was 100% effective, then this would be a more valid arguement. i'm young, and have dreams and aspirations that i could never fulfill if i became pregnant. if contraception can't garrentee that i won't get pregnant, i definately want the choice to have an abortion if i needed one. you're view seems to be very black and white, and you seem to dismiss the huge grey area that exists. abortion exists for a reason and should not be banned",abortion,p-baby_ill_treatment p-birth_ctrl p-not_human p-rape,0,67.151436,0,67.94656,64,0.5392068028450012,64,0.5870819091796875
10,"if wearing a condom only prevents the fertilization of an egg, doesn't it also stop the fetus from being made? there isn't much difference in ending it and not letting it start.",abortion,p-birth_ctrl,9,127.4968,12,127.54283,24,0.6392554342746735,24,0.6248136758804321
11,"no, you are simply mistaken. a fetus is a stage of development in the life span of an animal. we happen to be talking about the life of a human and nothing else.",abortion,c-baby_right,9,104.42752,12,103.540634,24,0.5270696878433228,24,0.5497578680515289
12,"let me clarify my position, since i misstated it. the first question that needs to be asked is "" what kind of life is it?"" if it is a human life then no reason for abortion is adequate. therefore no further questions are needed. i find it rather disturbing that we want to have sex without commitments so badly that we are willing to kill the result of that sexual union. but isn't that just like human nature, everything is just fine until something conflicts with what we want and stands between us and what we desire. then laws get broke, peace treaties ignored, property taken and people killed. but the most heinous crime is when we make laws to exonerate ourselves. when we call evil, good. we may be guiltless before the law but that doesn't mean we are not without real quilt. but praise be to god that he has provided a solution to the two greatest problems man faces, guilt and death. with god there is forgiveness, but not without great cost.",abortion,c-sex,34,151.23154,23,152.08397,46,0.524209052324295,20,0.5456150472164154
13,"ok let me clarify,but let me say i'm not sure why you are pushing this point, but my guess is that it has something to do with authority and you want to make a point about that. so let me modify what i said; the reasons commonly given for abortions are in adequate. in the case that the mothers life is endangered, it should be the case that the attending physician should make every attempt and exhaust every means possible to save the life of mother and child, abortion should never be considered as an easy out, quick fix or money saving option, but if it comes down to it, i think every mother would lay down their lives for their children, it's the most humane thing to do and the most loving; to lay down your life on behalf of someone else. so even in this case i would still maintain that it should not be an option and i think it would be hard to give an adequate reason why the child's life should be taken and not the mothers. i think this maintains the sanctity of the child's life throughout and at this point the moral dilemma moves from the child into other areas. and the husband and wife should make the call, if circumstances necessitate it.",abortion,p-other,35,181.22891,45,182.00671,41,0.4628077745437622,41,0.5253536701202393
14,"ok, the problem with jstantall is his belief system is clouding all of his arguments. first of all, the fetus is only a potential life and is no comparison to the actual life that is the mother. secondly, we don't even need an excuse to get rid of a fetus if we don't want it. it's not as if the world's population is dwindling, we actually don't need any more unwanted babies coming into this world! we've got enough of the babies that are actually wanted and we also have enough of those who aren't wanted and have become a burden on society because of their natural tendencies to commit crimes, so if you want to save actual lives and not potential lives, then make wars illegal, make climbing mt. everest illegal, make motor racing illegal.",abortion,p-not_human,9,160.30264,12,158.91873,5,0.5484310984611511,78,0.5160646140575409
15,"to your first point: what you are arguing for is the view known in german as; lebensunwertes leben or the life unworthy of life. this was the philosophy that drove the holocaust of nazi germany and the one currently underway here in america. to learn more about this follow this link http://en.wikipedia.org/wiki/ life_unworthy_of_life why do i say this? because you take a class of humans and then give reasons ( very poor ones) of why they should not be allowed to live. in nazi germany they said; this human should not live because of x. and you say that this human should not live because of x. there is a direct correlation here and i hope you see it. when you get a chance also pick up the book from darwin to hitler by dr. richard weikart now to your question of when do you begin to class a fetus as a human? at the moment of conception. because at that point you now have a complete and distinct human dna in the cell. there is no way around this; humans produce humans and dogs produce dogs. about a contraception that is 100% effective every time. it's known as abstinence. practice it faithfully and you will never get pregnant or an std. fail to practice it and pay the price with your life and possibly that of your child's. and if you do have an unwanted pregnancy, please consider adoption. did you know that 1 out of every 6 couples are infertile. do the math, that's a lot of couples who want to have children and can't. and i'm one of them. it cost me 14,000 dollars to have my daughter and it tears me up inside to know that some parents just discard their children like trash. there are thousands of us out here who are screaming; please don't kill it, we'll take it. you'd also be surprised to know the high number of americans who adopt from over seas; and why do they? there aren't enough children to be adopted here because of abortion. you noted well that i see this issue as black and white. it's called moral clarity. when looking at evil i call it as it is; evil. final thought: were you ever a fetus? because if you were, then you have to acknowledge that if your mother would have had an abortion it would have ended your life, not something else, but your life. think about that and look at it real hard because that's what abortion does; it ends the life of a human being in the early stages of development. and if you were born after 1972, i challenge you to consider yourself a survivor of the abortion holocaust. 1/3 of your generation has been killed by abortion in america! http://www.survivors.la/",abortion,c-adopt c-baby_right c-kill,2,106.89439,41,128.22183,5,0.5488339066505432,38,0.5168097019195557
16,"fyi the question is not who did or didn't do this or that. the question is should abortion be banned. i say it already is. we already have laws against murder; it's just that roe vs wade made a loop hole in the law and that ought to scare the hell out of any sane individual. because with that ruling a whole class of people just became non persons and no longer protected under the constitution. abortion is the unjustified taking of a human life in the early stages of development and that is wrong. and if it is within in your power to stop it and you don't; you are just as guilty, regardless of your political affiliation.",abortion,c-kill,8,138.63095,11,138.02385,23,0.6001422107219696,23,0.5993556976318359
17,"the view of ""abortion is the unjustified taking of a human life in the early stages of development and that is wrong"" is expected of a pro-lifer looking to force his/her belief on others. abortion is actually not unjustified. people have very good reasons to do it. it's not a fun activity, so to arrive at the decision people would have had to consider lots of options. abortion is also not the taking of a human life. it's the prevention of a human life, same as having sex with a condom, using the pills, abstinence, etc... finally, believe what you want, but don't force it on others. i respect pro-lifers' views, they should respect my views. what i do with my body doesn't affect the quality of their lives. don't affect the quality of mine!",abortion,p-not_murder p-right,33,152.60239,43,147.04562,0,0.27659326791763306,18,0.6043477356433868
18,"it's not ""life unworthy of life"", it's actually ""potential life!"" until the fetus can actually survive outside of the womb, it's a living organ like any other organ inside the woman's body. once it reaches the stage of about 20 weeks when it should stand a slight chance of survival and maturing into a person, then it should be made illegal. but before that time, it only has the potential, nothing more. a potential is just that.",abortion,p-not_human,9,166.12906,12,165.46613,30,0.5312477350234985,31,0.5423251092433929
19,"it's a living organ like any other organ inside the woman's body. then why does it have it's own unique dna? and what's the point of the fetal sack? why all the complex systems to isolate the fetus from the mothers body? no serious doctor holds this position; the data doesn't remotely support it. once it reaches the stage i did have it right when i said your view decides when a life is worthy of life and when a life is unworthy of life. you just said it right there. and here is a list of all the words you use in making this distinction; until, once, then, before. and about this notion of ""potential life!"" by all the standard definitions of life, it's alive and has been throughout, potentiality is a farce. and finally were do you get this arbitrary standard of survival and person hood? you see i don't discriminate; if it's human, and it is, then it deserves our full protection. the most dangerous place in america shouldn't be the womb.",abortion,c-baby_right,7,187.55373,9,186.6458,171,0.6144394874572754,171,0.6187697052955627
